Country Code,Country Name,Continent,Mobile Connectivity Subscore,Difference With Average MCS,Internet Connectivity Subscore,Difference With Average ICS,Landline Connectivity Subscore,Difference with Average LCS,Power Accessibility Subscore,Difference With Average PCS,Total Score,Difference With Average Total Score
KNA,SAINT KITTS AND NEVIS,NORTH AMERICA,27.17,6.96,22.80,12.68,12.98,7.72,22.06,3.24,85.01,30.60
KOR,"KOREA, REPUBLIC OF",ASIA,24.29,4.08,25.11,14.99,13.77,8.51,23.34,4.51,86.50,32.09
KWT,KUWAIT,ASIA,25.98,5.77,18.42,8.30,2.34,-2.92,23.53,4.71,70.28,15.87
LAO,LAOS ,ASIA,18.78,-1.43,2.10,-8.02,0.22,-5.04,16.50,-2.32,37.60,-16.81
LBN,LEBANON,ASIA,19.79,-0.42,13.10,2.99,2.61,-2.65,24.98,6.15,60.47,6.06
LBR,LIBERIA,AFRICA,11.91,-8.30,0.69,-9.43,0.02,-5.24,1.03,-17.80,13.65,-40.76
LBY,LIBYA,AFRICA,28.83,8.62,4.20,-5.92,5.67,0.41,25.00,6.18,63.70,9.29
LCA,SAINT LUCIA,NORTH AMERICA,24.70,4.49,12.99,2.87,5.77,0.51,22.06,3.24,65.53,11.12
LIE,LIECHTENSTEIN,EUROPE,24.00,3.79,24.00,13.88,13.63,8.37,25.00,6.18,86.63,32.22
LKA,SRI LANKA,ASIA,24.00,3.79,3.60,-6.52,2.33,-2.93,21.28,2.45,51.20,-3.21
LSO,LESOTHO,AFRICA,14.75,-5.46,1.16,-8.96,0.26,-5.00,4.25,-14.57,20.41,-34.00
LTU,LITHUANIA,EUROPE,27.56,7.35,18.64,8.52,6.24,0.98,25.00,6.18,77.44,23.03
LUX,LUXEMBURG,EUROPE,26.59,6.38,27.19,17.07,13.61,8.35,25.00,6.18,92.38,37.97
LVA,LATVIA,EUROPE,24.62,4.41,20.53,10.41,9.81,4.55,25.00,6.18,79.96,25.55
MAC,MACAU,,30.00,9.79,16.56,6.44,10.63,5.37,23.34,4.51,80.52,26.11
MAR,MOROCCO,AFRICA,24.06,3.85,15.60,5.48,1.60,-3.66,24.73,5.90,65.99,11.58
MCO,MONACO,EUROPE,19.06,-1.15,22.50,12.38,15.00,9.74,25.00,6.18,81.56,27.15
